Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
1000,2.1950135,34.714285714285715,-0.5245294,-0.09425972,-0.6760362386703491,-0.6760362386703491,0.0,1.0
2000,2.1964366,37.82608695652174,-0.58023894,-0.026833642,-0.3734734628511512,-0.3734734628511512,0.0,1.0
3000,2.196148,52.04761904761905,-0.52695036,-0.13747123,1.3088368546395075,1.3088368546395075,0.0,1.0
4000,2.1963673,32.40625,-0.6269712,-0.0603935,-0.28865934379639163,-0.28865934379639163,0.0,1.0
5000,2.1962054,33.370370370370374,-0.5855413,-0.108897,-0.27057324988501413,-0.27057324988501413,0.0,1.0
6000,2.1963902,31.677419354838708,-0.5849385,-0.06948204,-0.3078391840381007,-0.3078391840381007,0.0,1.0
7000,2.196326,35.57692307692308,-0.5432331,-0.087655626,-0.184412290652593,-0.184412290652593,0.0,1.0
8000,2.1962752,37.583333333333336,-0.5619031,-0.09402437,-0.5794073268771172,-0.5794073268771172,0.0,1.0
9000,2.1961172,37.96666666666667,-0.6147671,-0.11859928,-0.6142281889915466,-0.6142281889915466,0.0,1.0
10000,2.1963403,36.25,-0.55851877,-0.08315242,0.42743892192840577,0.42743892192840577,0.0,1.0
11000,2.1921358,41.4,-0.511714,-0.14807253,-0.041992647647857664,-0.041992647647857664,1.0209629678726195,1.0
12000,2.1859949,45.529411764705884,-0.44634953,-0.13791697,1.0095045069853466,1.0095045069853466,1.6817999465598001,1.0
13000,2.1870754,58.73684210526316,-0.5297882,-0.12826687,2.8677033815119,2.8677033815119,2.211239715831147,1.0
14000,2.185881,48.7,-0.6224309,-0.004960791,0.24067750871181487,0.24067750871181487,1.8776463836431503,1.0
15000,2.1839352,57.9375,-0.54637426,-0.22347637,1.6862059796557707,1.6862059796557707,1.9900414492277538,1.0
16000,2.184713,49.3,-0.47770855,-0.17545931,1.317518369147652,1.317518369147652,1.7672947307950573,1.0
17000,2.1850946,47.869565217391305,-0.5198241,-0.16565901,0.9986232881960662,0.9986232881960662,1.7981038984397184,1.0
18000,2.1860723,46.27272727272727,-0.4857858,-0.13714527,0.8819331445477225,0.8819331445477225,1.7435528876429254,1.0
