Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
216000,1.4986806,999.0,10.447973,287.25226497650146,287.25226497650146,1.0
217000,1.5045848,999.0,10.786205,286.77323818206787,286.77323818206787,1.0
218000,1.480094,None,10.672865,None,None,1.0
219000,1.4953936,999.0,10.8048,287.6356534957886,287.6356534957886,1.0
220000,1.4791958,999.0,10.775795,286.9521141052246,286.9521141052246,1.0
221000,1.4794405,None,10.638702,None,None,1.0
222000,1.4720235,999.0,10.74484,285.7407684326172,285.7407684326172,1.0
223000,1.4764112,999.0,10.744091,287.1891174316406,287.1891174316406,1.0
224000,1.4936166,None,10.557737,None,None,1.0
225000,1.5014127,999.0,10.43275,285.7099542617798,285.7099542617798,1.0
226000,1.5187533,999.0,10.502422,285.64333963394165,285.64333963394165,1.0
227000,1.4593716,None,11.219885,None,None,1.0
228000,1.5048788,531.3333333333334,10.981153,149.6950047413508,149.6950047413508,1.0
229000,1.4839889,999.0,11.124655,288.4283046722412,288.4283046722412,1.0
230000,1.4613461,None,11.3930645,None,None,1.0
231000,1.4754179,999.0,10.975676,287.4744029045105,287.4744029045105,1.0
232000,1.4865009,654.0,10.980371,186.0192174911499,186.0192174911499,1.0
233000,1.4815892,None,11.135304,None,None,1.0
234000,1.4845827,999.0,11.053604,285.6314697265625,285.6314697265625,1.0
235000,1.4719807,999.0,10.96129,286.1689510345459,286.1689510345459,1.0
236000,1.4731514,None,11.272027,None,None,1.0
237000,1.469372,929.0,11.200129,261.9084267616272,261.9084267616272,1.0
238000,1.459452,704.6666666666666,11.273167,200.88285764058432,200.88285764058432,1.0
239000,1.473411,None,11.480967,None,None,1.0
240000,1.4800618,999.0,11.245741,286.50240898132324,286.50240898132324,1.0
241000,1.4676216,999.0,11.145523,287.1681604385376,287.1681604385376,1.0
242000,1.4669856,None,11.315636,None,None,1.0
243000,1.4612916,999.0,11.388355,286.25523471832275,286.25523471832275,1.0
244000,1.4688752,777.6666666666666,10.955452,222.02060814698538,222.02060814698538,1.0
245000,1.460644,None,11.344717,None,None,1.0
246000,1.4672797,None,11.298786,None,None,1.0
247000,1.4625769,960.3333333333334,11.240656,275.34195295969647,275.34195295969647,1.0
248000,1.4537613,None,11.703904,None,None,1.0
249000,1.4579445,None,11.615251,None,None,1.0
250000,1.465676,999.0,11.5075445,287.3792282740275,287.3792282740275,1.0
251000,1.4781429,None,11.494818,None,None,1.0
252000,1.4561325,None,11.683941,None,None,1.0
253000,1.4959487,629.0,11.1959915,179.32215900421141,179.32215900421141,1.0
254000,1.4850866,242.0,11.262482,65.8857250213623,65.8857250213623,1.0
255000,1.4640884,None,11.452602,None,None,1.0
256000,1.4718821,999.0,11.399979,288.0711679458618,288.0711679458618,1.0
257000,1.4619868,999.0,11.406626,288.8998851776123,288.8998851776123,1.0
258000,1.4387723,None,11.684776,None,None,1.0
259000,1.4587572,999.0,11.7834835,288.739230632782,288.739230632782,1.0
260000,1.4510744,999.0,11.647518,287.79876136779785,287.79876136779785,1.0
261000,1.4556022,None,11.70886,None,None,1.0
262000,1.4528779,999.0,11.730846,287.60537576675415,287.60537576675415,1.0
263000,1.4164096,999.0,11.76281,287.523756980896,287.523756980896,1.0
264000,1.4259033,None,11.708924,None,None,1.0
265000,1.443926,894.0,11.71192,255.45363903045654,255.45363903045654,1.0
266000,1.4352026,999.0,11.708162,286.10571098327637,286.10571098327637,1.0
267000,1.4427851,819.0,11.628404,230.39735507965088,230.39735507965088,1.0
268000,1.4293839,999.0,11.946897,289.29397678375244,289.29397678375244,1.0
269000,1.454479,999.0,12.0537405,288.1615524291992,288.1615524291992,1.0
270000,1.4409709,999.0,11.949513,287.89140033721924,287.89140033721924,1.0
271000,1.4398701,999.0,11.988392,288.4294662475586,288.4294662475586,1.0
272000,1.4407891,827.5,11.892077,236.7001302242279,236.7001302242279,1.0
273000,1.4470224,None,11.864716,None,None,1.0
274000,1.4613984,999.0,11.982011,288.2998504638672,288.2998504638672,1.0
275000,1.4610605,502.5,11.58708,191.8218416571617,191.8218416571617,1.0
276000,1.4320831,None,11.980759,None,None,1.0
277000,1.4668816,867.0,11.76511,248.30117845535278,248.30117845535278,1.0
278000,1.429644,999.0,12.034842,287.7583818435669,287.7583818435669,1.0
279000,1.445822,None,12.317711,None,None,1.0
280000,1.4427886,999.0,12.079156,288.90007162094116,288.90007162094116,1.0
281000,1.4358416,651.0,12.103079,185.63299322128296,185.63299322128296,1.0
282000,1.4273489,None,12.240351,None,None,1.0
283000,1.4239322,999.0,12.177761,288.01012802124023,288.01012802124023,1.0
284000,1.4488717,999.0,11.918833,288.7415976524353,288.7415976524353,1.0
285000,1.422008,None,12.352123,None,None,1.0
