Steps,Policy/Entropy,Environment/Episode Length,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/GAIL Reward,Is Training
1000,2.1942842,38.0,-0.13349427,-0.39146206378936765,0.0,1.0
2000,2.1962197,43.36363636363637,-0.10279131,0.7821450596270354,0.0,1.0
3000,2.1962504,36.92307692307692,-0.15849543,-0.04290819569275929,0.0,1.0
4000,2.1962376,42.04347826086956,-0.106925614,0.5763338337773862,0.0,1.0
5000,2.1963253,38.333333333333336,-0.11175388,-0.02437124490737915,0.0,1.0
6000,2.1960864,37.214285714285715,-0.09461703,0.22133593206052427,0.0,1.0
7000,2.1962047,61.666666666666664,-0.040568233,1.816998447974523,0.0,1.0
8000,2.196397,43.38095238095238,-0.117649965,1.00304636630145,0.0,1.0
9000,2.1963165,33.27272727272727,-0.117857106,0.12713124230504036,0.0,1.0
10000,2.1963158,34.76923076923077,-0.13909167,0.4520174494156471,0.0,1.0
11000,2.193514,33.096774193548384,-0.07113957,-0.43292895055586295,8.160324250498126,1.0
12000,2.1898177,46.94444444444444,0.017146042,1.336309423049291,16.879171066814,1.0
13000,2.1891253,37.766666666666666,0.055954486,0.8243984282016754,15.820882014433543,1.0
14000,2.1894016,39.875,0.059760123,1.5355819389224052,16.699048603574436,1.0
15000,2.189164,33.37931034482759,0.045711193,-0.3080638719016108,13.912183493375778,1.0
16000,2.189631,47.857142857142854,0.029425165,1.7056011529195876,19.794079689752486,1.0
17000,2.189491,36.03846153846154,0.002366548,0.5011375042108389,16.019878534170296,1.0
18000,2.1890192,34.82142857142857,0.029828439,0.012694054416247777,14.459446685654777,1.0
19000,2.1893868,38.166666666666664,0.064115494,0.3548157935341199,16.75540228188038,1.0
20000,2.1895933,49.95238095238095,0.03824346,1.7871274777821131,20.75730155763172,1.0
21000,2.189167,35.96,0.29030275,-0.2905541682243347,13.224317059516906,1.0
22000,2.1886406,64.0,0.65983695,2.753661717687334,11.781735224383217,1.0
23000,2.1903985,79.0,0.6076466,5.817478567361832,14.597553461790085,1.0
24000,2.1868985,97.95652173913044,0.7491297,2.1501830641342248,19.732547065486077,1.0
25000,2.1867208,39.91304347826087,0.7811129,1.2537512986556343,7.2634189699007115,1.0
26000,2.1857536,34.964285714285715,0.79076725,-0.22539761875356948,5.467521716441427,1.0
27000,2.1851895,60.35294117647059,0.76660204,2.20077684852812,11.066696146917012,1.0
28000,2.1884181,56.72222222222222,0.729101,2.067513753386105,16.379589829374762,1.0
29000,2.1861591,63.06666666666667,0.7187276,4.092958625406027,11.711483098566532,1.0
30000,2.184786,39.72727272727273,0.7430264,1.113314002752304,6.398923692378131,1.0
31000,2.1845138,79.78571428571429,0.76552886,4.954367637634277,14.98246843769,1.0
32000,2.1738515,72.33333333333333,1.196766,4.188870201508204,8.909872041471923,1.0
33000,2.1733532,83.41666666666667,1.1474326,4.412049504426809,7.431315577947176,1.0
34000,2.1729937,53.68421052631579,1.1923318,2.1705905000368753,5.855327109405254,1.0
35000,2.1640449,91.22222222222223,1.1879956,5.873814123868942,8.650934047996998,1.0
36000,2.1728332,95.15384615384616,1.231523,6.938948780298233,10.711122004354062,1.0
37000,2.166722,72.08333333333333,1.2000543,4.234212614022768,7.603785366393053,1.0
38000,2.1717694,73.92857142857143,1.1498103,3.537233612367085,6.841421938368252,1.0
39000,2.1777172,63.5,1.1445557,3.5592537919680276,6.956444460277756,1.0
40000,2.1768415,133.11111111111111,1.1135565,2.158708903938532,18.5133053743177,1.0
41000,2.177541,58.0,1.1732936,2.337271990144954,4.842950599596781,1.0
42000,2.1561496,94.0,1.4128597,3.267000130244664,4.761739447712898,1.0
43000,2.1604505,204.0,1.2665722,18.965433979034422,20.525765419006348,1.0
44000,2.157866,150.4,1.371071,5.311129295825959,19.100136280059814,1.0
45000,2.1429882,166.0,1.4751922,7.980188250541687,7.588135678838524,1.0
46000,2.1480892,148.0,1.450936,9.755944575582232,11.825833567551204,1.0
47000,2.1535742,100.42857142857143,1.3465964,6.242651062352317,10.010594282831464,1.0
48000,2.1512516,128.55555555555554,1.4315401,9.372135115994347,9.50304907756961,1.0
49000,2.1495526,102.66666666666667,1.4715676,8.740227315160963,8.239630122979483,1.0
50000,2.1520395,275.75,1.4152985,28.29489453136921,19.36960196495056,1.0
51000,2.1585793,88.25,1.4696574,11.334064801534018,6.633332947113861,1.0
52000,2.1375377,204.375,1.5537609,16.47865492105484,16.95659879512257,1.0
53000,2.125977,213.25,1.6959579,11.61758841574192,10.788754911278374,1.0
54000,2.112325,216.0,1.6843405,16.397819429636,8.041317522525787,1.0
55000,2.1296425,284.8333333333333,1.6508608,20.673014789819717,13.061704174382612,1.0
56000,2.1308017,169.8,1.6586133,12.11361504793167,10.756176768243312,1.0
57000,2.1195724,184.0,1.6694839,-1.5695387125015259,4.511606216430664,1.0
58000,2.1123111,353.0,1.6943231,21.232783099015553,20.550858462850254,1.0
59000,2.1309977,275.0,1.630499,14.207689642906189,20.119428157806396,1.0
60000,2.1275833,343.8,1.6177793,24.85589451789856,16.937005364894866,1.0
61000,2.1154978,120.42857142857143,1.6747625,6.881850974900382,8.229875569098763,1.0
62000,2.1146894,254.0,1.7501531,13.090699851512909,13.105366736650467,1.0
63000,2.0836973,156.5,1.8097422,4.214909568428993,5.403499390929937,1.0
64000,2.0912201,463.6666666666667,1.8554747,17.209726656476658,17.13912868499756,1.0
65000,2.0961423,291.3333333333333,1.8342645,11.787788401047388,10.426595985889435,1.0
66000,2.1000772,287.6666666666667,1.8507628,12.395861804485321,12.914532462755838,1.0
67000,2.095306,100.75,1.8415304,2.479268431663513,3.5709858387708664,1.0
68000,2.0848007,752.0,1.8967748,42.81532020866871,31.480476021766663,1.0
69000,2.099215,184.0,1.851742,3.245632161696752,10.109625915686289,1.0
70000,2.0949547,552.0,1.823756,25.342592120170593,23.892152927815914,1.0
71000,2.0975308,268.0,1.8637152,8.775508761405945,7.5057840545972185,1.0
72000,2.0962896,289.3333333333333,1.8493634,12.583851834138235,10.689650339384874,1.0
73000,2.0856335,489.0,1.9565558,None,None,1.0
74000,2.071189,632.0,1.9651884,23.92321741208434,20.31464991532266,1.0
75000,2.0750074,309.0,1.9928052,8.787911593914032,9.761454980820417,1.0
76000,2.0836933,None,1.8362832,None,None,1.0
77000,2.0722048,603.25,1.9387773,23.916058470805485,45.25560196240743,1.0
78000,2.0792048,331.0,2.0132906,10.856439173221588,11.502030087634921,1.0
79000,2.0774214,423.3333333333333,2.063243,35.547154009342194,14.753100217327301,1.0
80000,2.0686138,176.0,1.9862376,4.295405715703964,4.39225646853447,1.0
81000,2.0708287,264.5,2.0030344,10.586304436127344,8.002739698936542,1.0
82000,2.0709176,441.0,1.9571022,19.187589128812153,12.916407396396002,1.0
83000,2.061816,239.0,2.064383,11.182872414588928,3.955971375107765,1.0
84000,2.066527,169.0,2.168895,3.6290688514709473,4.803918132558465,1.0
85000,2.0674655,999.0,2.1103544,58.195551693439484,29.369969964027405,1.0
86000,2.0598688,309.0,2.0930545,16.127755343914032,9.159583568572998,1.0
87000,2.0483892,627.0,2.1821954,28.127714902162552,19.02955061197281,1.0
88000,2.0768642,999.0,2.0536406,33.07548967003822,33.39078485965729,1.0
89000,2.0832458,313.0,2.0377584,15.84859013557434,6.3930047154426575,1.0
90000,2.0601406,483.8,2.0799408,28.680650305747985,10.509306439757347,1.0
