Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
238000,1.3522632,9.668584,999.0,281.24176025390625,281.24176025390625,1.0
239000,1.3643677,9.659996,999.0,None,None,1.0
240000,1.3600817,9.648015,999.0,284.22498989105225,284.22498989105225,1.0
241000,1.3528508,9.686672,999.0,285.02743434906006,285.02743434906006,1.0
242000,1.3554811,9.689257,999.0,None,None,1.0
243000,1.3394054,9.689873,999.0,282.3534526824951,282.3534526824951,1.0
244000,1.3591535,9.668919,999.0,284.70397567749023,284.70397567749023,1.0
245000,1.3457487,9.6922455,999.0,None,None,1.0
246000,1.363987,9.682308,999.0,283.0686779022217,283.0686779022217,1.0
247000,1.3578761,9.823839,999.0,283.0456666946411,283.0456666946411,1.0
248000,1.3455063,10.133606,999.0,None,None,1.0
249000,1.3330233,10.071049,999.0,283.56313276290894,283.56313276290894,1.0
250000,1.3226926,10.076067,999.0,283.830415725708,283.830415725708,1.0
251000,1.3316132,10.141567,999.0,None,None,1.0
252000,1.3259258,10.142334,999.0,284.41517448425293,284.41517448425293,1.0
253000,1.3443309,10.10372,999.0,283.43753719329834,283.43753719329834,1.0
254000,1.3345242,10.121889,999.0,None,None,1.0
255000,1.3220879,10.125406,999.0,283.61712312698364,283.61712312698364,1.0
256000,1.3367469,10.132418,999.0,283.0456323623657,283.0456323623657,1.0
257000,1.3364418,10.166909,999.0,None,None,1.0
258000,1.3405249,10.755876,999.0,283.88167667388916,283.88167667388916,1.0
259000,1.3119842,10.724125,999.0,285.1899194717407,285.1899194717407,1.0
260000,1.3169703,10.741678,999.0,None,None,1.0
261000,1.3134629,10.771399,999.0,284.9439277648926,284.9439277648926,1.0
262000,1.3156039,10.73815,999.0,283.42289447784424,283.42289447784424,1.0
263000,1.3315368,10.7432785,999.0,None,None,1.0
264000,1.3231452,10.750376,999.0,283.0936789512634,283.0936789512634,1.0
265000,1.3139691,10.728548,999.0,285.426118850708,285.426118850708,1.0
266000,1.3177804,10.760693,999.0,None,None,1.0
