Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
1000,2.1948714,32.32258064516129,-0.035197772,-0.10791811,-0.0879031777381897,-0.0879031777381897,0.0,1.0
2000,2.1966236,34.81481481481482,-0.03015645,-0.104606226,0.7721872594621446,0.7721872594621446,0.0,1.0
3000,2.1966674,31.3,-0.059803624,-0.044835657,-0.6582985142866771,-0.6582985142866771,0.0,1.0
4000,2.196656,41.25,0.01056195,-0.08579218,0.8090843832492829,0.8090843832492829,0.0,1.0
5000,2.196627,35.310344827586206,-0.066667266,-0.12910424,0.4161051743560367,0.4161051743560367,0.0,1.0
6000,2.1966186,38.92,-0.030719273,-0.11991914,0.6391062255089099,0.6391062255089099,0.0,1.0
7000,2.1965904,31.3,-0.045553338,-0.10890582,-0.19662464459737142,-0.19662464459737142,0.0,1.0
8000,2.1965995,35.30769230769231,-0.018793164,-0.14262359,0.6183051077219156,0.6183051077219156,0.0,1.0
9000,2.1966116,35.55172413793103,-0.06950848,-0.09853132,-0.2665076543544901,-0.2665076543544901,0.0,1.0
10000,2.196561,29.151515151515152,-0.08500318,-0.10472132,-0.3018517855441932,-0.3018517855441932,0.0,1.0
11000,2.1936536,39.0,8.2589686e-05,-0.113291465,0.1490975546836853,0.1490975546836853,1.2060328137874603,1.0
12000,2.1882432,45.7,-0.04918407,-0.12984206,2.5010571599006655,2.5010571599006655,1.7955912716686726,1.0
13000,2.1888838,45.608695652173914,0.028085375,-0.12935108,1.7261128866154214,1.7261128866154214,1.9368123852688333,1.0
14000,2.1889904,44.72727272727273,-0.012423178,-0.126394,1.4984550638632341,1.4984550638632341,1.8486898785287684,1.0
15000,2.1883368,40.82608695652174,0.02328476,-0.14158684,2.5189034193754196,2.5189034193754196,1.8329468152175348,1.0
16000,2.1871443,54.875,0.013900523,-0.17140056,2.250827059149742,2.250827059149742,2.3100644662044942,1.0
17000,2.18755,59.89473684210526,-0.030630896,-0.14044951,3.1148915501201855,3.1148915501201855,2.67895144136513,1.0
18000,2.188718,42.95238095238095,-0.029679697,-0.12997599,2.1070346534252167,2.1070346534252167,1.7386047159406273,1.0
19000,2.1889153,44.65217391304348,0.031620357,-0.14831793,1.7427860394768093,1.7427860394768093,1.6804029475087705,1.0
20000,2.1899803,43.125,0.043416616,-0.14119086,2.099280061929122,2.099280061929122,2.1012339262372772,1.0
21000,2.1786783,53.111111111111114,0.04783562,-0.018719956,2.090010997321871,2.090010997321871,1.660330125855075,1.0
22000,2.1711173,66.25,0.2011475,0.06613632,4.604844308816469,4.604844308816469,1.1656479308238397,1.0
23000,2.1696072,63.5,0.21499498,0.093732186,5.010145207246144,5.010145207246144,1.3991961906353632,1.0
24000,2.1741834,80.7,0.22119035,0.09533658,6.519106613265143,6.519106613265143,1.9185452113548915,1.0
25000,2.1686208,73.11111111111111,0.09240083,0.07711606,4.25402989199287,4.25402989199287,1.5136638459210332,1.0
26000,2.1674342,73.0,0.19190995,0.087720685,5.204618547643934,5.204618547643934,1.602801149977105,1.0
27000,2.1690576,53.0,0.14682448,0.06787574,3.496497969878347,3.496497969878347,1.0084930565208197,1.0
28000,2.1692755,39.65,0.17511646,0.12506191,1.9402173899468922,1.9402173899468922,0.8953134756357897,1.0
29000,2.1648002,54.76190476190476,0.13249248,0.069158494,3.905289259552956,3.905289259552956,1.0603304225020111,1.0
30000,2.1713517,43.09090909090909,0.13680126,0.07855742,1.603990938352502,1.603990938352502,0.881477397421132,1.0
31000,2.1625826,55.10526315789474,0.24506642,0.11360942,4.66951064268748,4.66951064268748,1.2835565398136775,1.0
32000,2.132034,81.36363636363636,0.38766396,0.20215075,7.446466871670315,7.446466871670315,0.8719805947371891,1.0
33000,2.1454337,60.5,0.2606664,0.23041089,4.241279784838358,4.241279784838358,0.7457606838395198,1.0
34000,2.1360326,107.72727272727273,0.4279335,0.20513988,12.566348189115525,12.566348189115525,1.2278073842404411,1.0
35000,2.133363,65.8,0.30472866,0.20160504,4.687518839325223,4.687518839325223,0.7876074958143623,1.0
36000,2.1310356,70.5,0.29363278,0.23652539,6.911794815744672,6.911794815744672,0.8082610919539418,1.0
37000,2.1314263,73.41666666666667,0.2994123,0.19471122,7.517796923716863,7.517796923716863,0.8844313106189171,1.0
38000,2.1410844,61.3125,0.26593265,0.23825973,4.65592474816367,4.65592474816367,0.8757894393056631,1.0
39000,2.125815,101.5,0.3600322,0.19798529,10.25558104366064,10.25558104366064,1.3529678725171834,1.0
40000,2.1362612,97.7,0.39694515,0.2207809,11.044283318519593,11.044283318519593,1.1136572789400816,1.0
41000,2.1415107,94.21428571428571,0.38350037,0.26520208,10.712328695333921,10.712328695333921,1.3611523688529046,1.0
42000,2.0969265,77.33333333333333,0.5133708,0.25415006,6.903495545570667,6.903495545570667,0.721110613586811,1.0
43000,2.085455,87.6,0.7219132,0.26868764,8.81472452878952,8.81472452878952,0.6924373300746083,1.0
44000,2.092696,87.66666666666667,0.6046904,0.314702,10.682203521331152,10.682203521331152,0.5914019374435561,1.0
45000,2.1006522,78.1,0.5799545,0.30416885,7.905442690849304,7.905442690849304,0.7637943286448717,1.0
46000,2.1012452,136.4,0.7049162,0.28328267,17.663702487945557,17.663702487945557,1.0299271581694485,1.0
47000,2.0927036,200.5,0.65783536,0.25899392,29.020882844924927,29.020882844924927,1.1845865547657013,1.0
48000,2.0877447,132.0,0.626793,0.27093017,18.672770239412785,18.672770239412785,1.0606034603551961,1.0
49000,2.0889983,67.66666666666667,0.6308233,0.3054219,7.03515864610672,7.03515864610672,0.5521397728472948,1.0
50000,2.0917132,125.16666666666667,0.6953237,0.27856866,15.990832169850668,15.990832169850668,0.807504932085673,1.0
51000,2.0992315,180.55555555555554,0.5810584,0.30982435,22.57368677192264,22.57368677192264,1.5917348923782508,1.0
52000,2.0734985,117.625,0.8158983,0.30066746,14.025785461068153,14.025785461068153,0.8586657863052096,1.0
53000,2.0633922,84.45454545454545,0.8327832,0.35276675,9.677428754893215,9.677428754893215,0.6101399737579579,1.0
54000,2.0514948,137.66666666666666,0.7375474,0.31680927,18.664868876338005,18.664868876338005,0.7932423277913282,1.0
55000,2.0779555,174.28571428571428,0.66265315,0.36973172,21.773977977888926,21.773977977888926,1.3115606575406022,1.0
56000,2.0646985,117.0,0.93072045,0.3240733,15.448373055458068,15.448373055458068,0.9764826188402367,1.0
57000,2.0684092,115.0,0.7770267,0.33380085,14.628940513500801,14.628940513500801,0.6171519616618752,1.0
58000,2.0825646,94.7,0.8043705,0.37525812,11.244626343250275,11.244626343250275,0.7414123176343062,1.0
