Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
1000,2.1949713,39.04,0.20031844,-0.27551883,0.6227135310570399,0.6227135310570399,0.0,1.0
2000,2.1966002,38.42307692307692,0.089927115,-0.2103939,0.026956959412648127,0.026956959412648127,0.0,1.0
3000,2.196544,34.142857142857146,0.17033008,-0.27845705,0.07848076735224042,0.07848076735224042,0.0,1.0
4000,2.1966155,38.6,0.066205285,-0.17440727,1.0539249658584595,1.0539249658584595,0.0,1.0
5000,2.1965792,30.875,0.112706415,-0.20106058,0.48104118555784225,0.48104118555784225,0.0,1.0
6000,2.1966233,39.0,0.15814392,-0.31952646,0.9602188503742218,0.9602188503742218,0.0,1.0
7000,2.196596,37.55555555555556,0.103346534,-0.21134259,0.7143540451159844,0.7143540451159844,0.0,1.0
8000,2.1966326,39.916666666666664,0.10767945,-0.22286405,0.6225384188734967,0.6225384188734967,0.0,1.0
9000,2.196548,36.76,0.031501245,-0.2137182,0.5252892132158633,0.5252892132158633,0.0,1.0
10000,2.1965683,35.6551724137931,0.11642242,-0.21909891,0.15009002600397384,0.15009002600397384,0.0,1.0
11000,2.194039,37.96,0.1641574,-0.35338297,0.5803593672238864,0.5803593672238864,1.233552550467161,1.0
12000,2.1891284,54.21052631578947,0.15953717,-0.33565915,1.4212923049926758,1.4212923049926758,2.120608738240074,1.0
13000,2.1900785,43.40909090909091,0.20881902,-0.4150112,1.5439770558606023,1.5439770558606023,1.8892453912969516,1.0
14000,2.1891873,46.142857142857146,0.17822164,-0.34095857,0.98062702303841,0.98062702303841,1.741187674658639,1.0
15000,2.1900663,37.76190476190476,0.14714654,-0.27391976,0.016031580311911448,0.016031580311911448,1.4509122187183017,1.0
16000,2.1896002,53.04545454545455,0.21894541,-0.33544376,2.2893185182051226,2.2893185182051226,2.3504444631663235,1.0
17000,2.1894853,51.94444444444444,0.15145797,-0.3268777,2.2680572490943107,2.2680572490943107,2.2068115268882953,1.0
18000,2.1904387,42.5,0.23820986,-0.43299326,0.9997016813444055,0.9997016813444055,1.8272885505271994,1.0
19000,2.1898448,49.85,0.19241507,-0.37815168,1.8125781178474427,1.8125781178474427,2.0229844085872175,1.0
20000,2.1908877,46.09090909090909,0.22571142,-0.3755229,1.275832249359651,1.275832249359651,1.784759739583189,1.0
21000,2.180331,63.38461538461539,0.24530387,-0.24292661,3.9164916460330668,3.9164916460330668,1.9475780338622057,1.0
22000,2.1667585,78.84615384615384,0.273162,-0.18023233,4.160992503166199,4.160992503166199,1.6997120261325367,1.0
23000,2.1682162,58.76470588235294,0.2285926,-0.20816714,3.523526020348072,3.523526020348072,1.2997296969406307,1.0
24000,2.1755223,64.625,0.29580668,-0.16000138,3.508566646014943,3.508566646014943,1.3405488343799816,1.0
25000,2.1677995,79.0,0.19352987,-0.17403616,4.994906479662115,4.994906479662115,1.7535319988700477,1.0
26000,2.1673226,68.5,0.20109688,-0.18215677,5.56416779011488,5.56416779011488,1.5321602236072067,1.0
27000,2.1648777,59.07692307692308,0.3264732,-0.25928795,3.1866488548425527,3.1866488548425527,1.1544850654541874,1.0
28000,2.1715705,76.5,0.4212563,-0.2500045,4.744548666477203,4.744548666477203,1.6067993058202168,1.0
29000,2.1656408,89.7,0.2814587,-0.23506026,4.644149368459528,4.644149368459528,1.6513184315778993,1.0
30000,2.1654072,64.6,0.35233438,-0.17632018,3.911523014307022,3.911523014307022,1.1689543329179286,1.0
31000,2.155502,82.0,0.21041197,-0.30510715,7.719610205718449,7.719610205718449,1.5812509969275976,1.0
32000,2.1421244,101.28571428571429,0.45633346,-0.053012062,7.740259985129039,7.740259985129039,1.2586298921184305,1.0
33000,2.1320455,71.0909090909091,0.47062328,-0.08139463,5.471779376268387,5.471779376268387,0.9621355390797058,1.0
34000,2.1476336,114.55555555555556,0.46360382,-0.056787588,11.28596615129047,11.28596615129047,1.7808797483642895,1.0
35000,2.1402423,95.16666666666667,0.47127616,-0.08246387,9.166123792529106,9.166123792529106,1.5229266638246675,1.0
36000,2.1405811,75.0909090909091,0.5159427,-0.06822715,6.313076244159178,6.313076244159178,1.1262641413645311,1.0
37000,2.1384792,79.7,0.5514588,0.027905261,6.656425154209137,6.656425154209137,1.00348502099514,1.0
38000,2.1339362,120.6,0.51450497,-0.1116694,12.225005823373795,12.225005823373795,1.6840676106512547,1.0
39000,2.1314313,79.07692307692308,0.5009421,-0.0968386,7.0186439362856055,7.0186439362856055,1.0131115374656825,1.0
40000,2.136503,69.23076923076923,0.54528576,-0.018690536,6.442049498741444,6.442049498741444,1.0275784891385298,1.0
41000,2.137957,88.42857142857143,0.5042313,-0.11908194,7.092080899647304,7.092080899647304,1.267938548432929,1.0
42000,2.104421,212.28571428571428,0.80908036,-0.001135139,24.352492732661112,24.352492732661112,2.2202728936182603,1.0
43000,2.095089,109.0,0.78017277,0.01541697,12.031311313311258,12.031311313311258,1.2554344323774178,1.0
44000,2.0929615,167.2,0.7197652,0.010628486,16.715177601575853,16.715177601575853,1.5095478296279907,1.0
45000,2.1074097,154.5,0.72608435,0.02239486,16.965741117795307,16.965741117795307,1.6687278573711712,1.0
46000,2.1023254,248.2,0.7867332,0.028655726,30.8622309923172,30.8622309923172,2.415700002014637,1.0
47000,2.0990107,80.66666666666667,0.75510764,-0.0028497449,7.4202395876248675,7.4202395876248675,0.6751148964006765,1.0
48000,2.112535,120.11111111111111,0.7479555,0.02365927,11.360824964940548,11.360824964940548,1.307789634913206,1.0
49000,2.1089396,108.4,0.815858,0.028825,11.286672254403433,11.286672254403433,1.4006793877730768,1.0
50000,2.1058207,264.5,0.7580832,0.023278922,39.66112047433853,39.66112047433853,3.0061196237802505,1.0
51000,2.0941722,137.5,0.72333235,-0.008632651,14.194501979010445,14.194501979010445,1.2544468925999743,1.0
52000,2.084584,136.44444444444446,0.9000762,-0.0011790987,16.4170391112566,16.4170391112566,1.3918914841488004,1.0
53000,2.0676603,78.5,1.0491959,0.077458456,8.164670263017927,8.164670263017927,0.4894258401223591,1.0
54000,2.0567954,318.0,1.0599605,0.07461519,45.806876823306084,45.806876823306084,1.91234159655869,1.0
55000,2.0694237,174.0,1.0897979,0.06894253,23.286239902178448,23.286239902178448,1.3461566207309563,1.0
56000,2.0689847,157.0,1.0322751,0.062234193,21.728438556194305,21.728438556194305,1.0440181985497474,1.0
57000,2.074549,112.75,0.8944196,0.017513646,13.919366344809532,13.919366344809532,0.9555933630908839,1.0
58000,2.0730097,188.33333333333334,0.93053645,0.043849815,26.28256156047185,26.28256156047185,1.5312858670949936,1.0
59000,2.0830731,213.33333333333334,1.0313481,0.073300496,30.30275281270345,30.30275281270345,1.3682148108879726,1.0
60000,2.084122,131.92307692307693,0.9204197,0.0034119023,17.812325931512394,17.812325931512394,0.9736050778928285,1.0
61000,2.0903726,92.0,1.0587363,0.08522548,10.457245707511902,10.457245707511902,1.2417739108204842,1.0
62000,2.044349,195.77777777777777,1.1310892,0.08769954,25.457474521228246,25.457474521228246,1.2925647934898734,1.0
63000,2.0287035,177.25,1.1801723,0.06672607,28.602919220924377,28.602919220924377,1.071296238495658,1.0
64000,2.0321121,129.0,1.1942436,0.0441288,18.30778217315674,18.30778217315674,0.9034091281161333,1.0
65000,2.0522065,209.0,1.3710653,0.11854374,32.136661142110825,32.136661142110825,0.9524064002325758,1.0
66000,2.030972,127.33333333333333,1.2195392,0.08512465,19.232796271642048,19.232796271642048,0.6713307849131525,1.0
67000,2.0120087,165.15384615384616,1.232131,0.08788185,24.20888672883694,24.20888672883694,0.7361014030354384,1.0
68000,2.0449922,78.22222222222223,1.2710159,0.10178568,8.89967413081063,8.89967413081063,0.7812104026476542,1.0
69000,2.0539026,139.57142857142858,1.1465634,0.03524157,19.846469666276658,19.846469666276658,0.7943553208107395,1.0
70000,2.053638,225.5,1.2678227,0.11382285,34.57154668867588,34.57154668867588,2.0724359633750282,1.0
